Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Erlenbach bei Kandel,Gemeinde,7334004,Rheinland-Pfalz
Erlenmoos,Gemeinde,8426043,Baden-Württemberg
Erlensee,Stadt,6435007,Hessen
Erlenstegener Forst,Gemeindefreies Gebiet,9572454,Bayern
Erligheim,Gemeinde,8118015,Baden-Württemberg
Ermershausen,Gemeinde,9674223,Bayern
Erndtebrück,Gemeinde,5970012,Nordrhein-Westfalen
Ernsgaden,Gemeinde,9186116,Bayern
Ernst,Gemeinde,7135027,Rheinland-Pfalz
Ernzen,Gemeinde,7232033,Rheinland-Pfalz
Erolzheim,Gemeinde,8426044,Baden-Württemberg
Erpel,Gemeinde,7138019,Rheinland-Pfalz
Erpolzheim,Gemeinde,7332015,Rheinland-Pfalz
Ersfeld,Gemeinde,7132027,Rheinland-Pfalz
Ertingen,Gemeinde,8426045,Baden-Württemberg
Erwitte,Stadt,5974016,Nordrhein-Westfalen
Erxleben,Gemeinde,15083205,Sachsen-Anhalt
Erzenhausen,Gemeinde,7335005,Rheinland-Pfalz
Erzhausen,Gemeinde,6432006,Hessen
Esch,Gemeinde,7231031,Rheinland-Pfalz
Esch,Gemeinde,7233022,Rheinland-Pfalz
Eschach,Gemeinde,8136020,Baden-Württemberg
Eschau,Gemeinde,9676123,Bayern
Eschbach,Gemeinde,7141040,Rheinland-Pfalz
Eschbach,Gemeinde,7337022,Rheinland-Pfalz
Eschbach,Gemeinde,8315033,Baden-Württemberg
Eschborn,Stadt,6436003,Hessen
Eschbronn,Gemeinde,8325071,Baden-Württemberg
Esche,Gemeinde,3456004,Niedersachsen
Escheburg,Gemeinde,1053028,Schleswig-Holstein
Eschede,Gemeinde,3351025,Niedersachsen
Eschelbronn,Gemeinde,8226020,Baden-Württemberg
Eschenbach,Gemeinde,8117020,Baden-Württemberg
Eschenbach i.d. OPf.,Stadt,9374117,Bayern
Eschenbergen,Gemeinde,16067016,Thüringen 
Eschenburg,Gemeinde,6532009,Hessen
Eschenlohe,Gemeinde,9180114,Bayern
Eschershausen,Stadt,3255013,Niedersachsen
Eschershausen,Gemeindefreies Gebiet,3255503,Niedersachsen
Eschfeld,Gemeinde,7232220,Rheinland-Pfalz
